raceId,max_pit_duration,mean_pit_duration,min_pit_duration,total_pit_stops,year,round,circuitId,race_name,date,circuit_name,country,alt,lat,lng,avg_stop_lap,num_stops,avg_grid_top3,total_pit_stops_winner
877,24.962,21.1315,19.368,4,2012,18,24,Abu Dhabi Grand Prix,2012-11-04,Yas Marina Circuit,UAE,3,24.4672,54.6031,27.25,4,11.333333333333334,2.0
878,24.439,22.052333333333333,20.814,3,2012,19,69,United States Grand Prix,2012-11-18,Circuit of the Americas,USA,161,30.1328,-97.6411,20.33333333333333,3,3.333333333333333,1.0
879,23.0,22.130375,21.456,8,2012,20,18,Brazilian Grand Prix,2012-11-25,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,31.625,8,4.666666666666667,4.0
880,22.709,22.012375,21.596,8,2013,1,1,Australian Grand Prix,2013-03-17,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,22.0,8,4.333333333333333,2.0
881,24.933,21.443916666666667,20.736,12,2013,2,2,Malaysian Grand Prix,2013-03-24,Sepang International Circuit,Malaysia,18,2.76083,101.738,25.0,12,3.333333333333333,4.0
882,21.012,20.421222222222223,19.6,9,2013,3,17,Chinese Grand Prix,2013-04-14,Shanghai International Circuit,China,5,31.3389,121.22,21.55555555555556,9,2.0,3.0
883,24.605,22.132875,21.29,8,2013,4,3,Bahrain Grand Prix,2013-04-21,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,25.5,8,7.0,3.0
884,20.184,19.44963636363636,18.471,11,2013,5,4,Spanish Grand Prix,2013-05-12,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,28.272727272727277,11,6.0,4.0
885,25.2,24.63033333333333,24.316,3,2013,6,6,Monaco Grand Prix,2013-05-26,Circuit de Monaco,Monaco,7,43.7347,7.42056,28.666666666666668,3,2.6666666666666665,1.0
886,20.898,20.736,20.512,6,2013,7,7,Canadian Grand Prix,2013-06-09,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,32.5,6,3.0,2.0
887,31.448,25.6,24.473,9,2013,8,9,British Grand Prix,2013-06-30,Silverstone Circuit,UK,153,52.0786,-1.01694,28.0,9,5.0,2.0
888,20.528,19.700333333333333,18.979,9,2013,9,20,German Grand Prix,2013-07-07,Nürburgring,Germany,578,50.3356,6.9475,25.55555555555556,9,3.6666666666666665,3.0
